x;control;larvae_2;larvae_4;larvae_8
-0.0013;0.002844;0.002929;0.0035;0.00264
0.4962;0.002288;0.024814;0.0428;0.042726
0.9946;0.002493;0.045051;0.081481;0.085617
1.4948;0.002866;0.048145;0.079326;0.083566
1.9997;0.003071;0.050929;0.075854;0.082035
2.5019;0.00198;0.034682;0.060314;0.075301
3.0031;0.001254;0.01822;0.045673;0.068574
3.507;0.001177;0.014699;0.034753;0.060242
3.9962;0.001213;0.011819;0.024347;0.052732
4.4983;0.000938;0.009335;0.017138;0.030814
5.0004;0.000608;0.005579;0.008979;0.007805
